파일명,법원,사건,검사,변호인,판결선고,판사,Label1,Label2,주문,범죄사실,양형이유
대구지방법원포항지원-2020고단1139.pdf,대구지방법원 포항지원,"2020고단1139 도로교통법위반(음주운전), 도로교통법위반(무면","장우혁(기소), 김나연(공판)",,2020. 10. 28.,이준영,징역,1.166666667,피고인을 징역 1년 2개월에 처한다.,"[범죄전력] 피고인은 2008. 10. 1. 대구지방법원 포항지원에서 도로교통법위반(음주운전)죄로 벌금 100만 원, 2008. 12. 1. 같은 법원에서 도로교통법위반(음주운전)죄, 도로교통법위반(무면허운전)죄로 벌금 250만 원, 2011. 1. 13. 같은 법원에서 도로교통법위반(음주운전)죄, 도로교통법위반(무면 허운전)죄로 벌금 500만 원, 2013. 12. 18. 같은 법원에서 도로교통법위반(음주운전)죄, 도로교 통법위반(무면허운전)죄로 벌금 700만 원, 2016. 6. 30. 같은 법원에서 도로교통법위반(음주운 전)죄로 징역 6개월에 집행유예 2년을 각 선고받았고, 2019. 8. 8. 같은 법원에서 도로교통법위반 (음주운전)죄, 도로교통법위반(무면허운전)죄 등으로 징역 8개월에 집행유예 2년을 선고받고 2019. 8. 17. 그 판결이 확정되어 현재 집행유예 기간 중이다.<각주1> 【범행】 - 1 - 출처: lbox.kr/case/대구지방법원포항지원/2020고단1139 피고인은 2020. 7. 22. 01:30경 포항시 남구 B에 있는 C 호프집 앞 도로에서부터 같은 구 D에 있 는 E 앞 도로에 이르기까지 약 50m 구간에서 혈중알콜농도 0.176%의 술에 취한 상태로 자동차운 전면허를 받지 아니하고 F 렉스턴 차량을 운전하였다. 이로써 피고인은 도로교통법 제44조 제1항 또는 제2항을 2회 이상 위반함과 동시에, 자동차운전면 허를 받지 아니하고 자동차를 운전하였다.","혈중알콜농도 수치가 매우 높고, 무면허운전까지 한 점, 피고인은 이 사건 이전에 도로교통법위반 (음주운전)죄로 6번, 도로교통법위반(무면허운전)죄로 6번 처벌받은 바 있어, 이번이 7번째 음주운 전임과 동시에 7번째 무면허운전인 점, 특히 도로교통법위반(음주운전)죄, 도로교통법위반(무면허 운전)죄 등으로 인한 징역형의 집행유예 기간 중에 보호관찰을 받으면서도 또다시 이 사건 음주·무 면허운전을 재범한 점, 이에 비추어 보면 음주·무면허운전을 다시 할 가능성이 높은 점, 피고인에게 - 2 - 출처: lbox.kr/case/대구지방법원포항지원/2020고단1139 기타 범죄로 처벌받은 전력도 많은 점, 다만 피고인이 판시 차량을 외지에 사는 아들에게 이전하였 고, 자신의 잘못을 반성하는 점 등을 두루 참작한다."
부산지방법원동부지원-2018고단2427.pdf,부산지방법원 동부지원,2018고단2427 도로교통법위반(음주운전),"박성민(기소), 신지원(공판)",변호사 신나연(국선),2019. 6. 5.,박상현,집행유예,1,"피고인을 징역 1년에 처한다. 다만, 이 판결 확정일부터 3년간 위 형의 집행을 유예한다. 피고인에게 보호관찰을 받을 것과 40시간의 준법운전강의 수강을 명한다.","피고인은 2000. 10. 9. 부산지방법원 동부지원에서 도로교통법위반(음주운전)죄로 벌금 70만 원, 2001. 8. 13. 부산지방법원 동부지원에서 도로교통법위반(음주운전)죄 등으로 벌금 350만 원, 2010. 4. 28. 부산지방법원 동부지원에서 도로교통법위반(음주운전)죄로 벌금 250만 원, 2011. 5. 25. 부산지방법원 동부지원에서 도로교통법위반(음주운전)죄 등으로 벌금 500만 원의 약식명명 을 각 발령받았고, 2002. 1. 22. 부산지방법원 동부지원에서 도로교통법위반(음주운전)죄 등으로 징역 6월에 집행유예 2년, 2004. 2. 5. 부산지방법원에서 도로교통법위반(음주운전)죄로 징역 6월 에 집행유예 2년, 2012. 6. 13. 부산지방법원 동부지원에서 도로교통법위반(음주운전)죄 등으로 - 1 - 출처: lbox.kr/case/부산지방법원동부지원/2018고단2427 징역 10월에 집행유예 3년의 판결을 각 선고받았다. 피고인은 이와 같이 2회 이상 음주운전을 한 사실이 있음에도 불구하고, 2018. 11. 14. 13:39경 부산 기장군 B에 있는 C병원 앞 도로에서부터 부산 기장군 D에 있는 E 앞 도로에 이르기까지 약 200m 구간에서 혈중알코올농도 0.199%의 술에 취한 상태로 F 로체 차량을 운전하였다.","중 유리한 정상 참작) 1. 보호관찰 및 수강명령 형법 제62조의2 양형의 이유 피고인이 판시 기재와 같이 여러 차례에 걸쳐 음주운전으로 처벌받았음에도 또 다시 음주운전 범행 을 저지른 점, 이 사건 음주운전으로 사고가 발생하여 주차된 차량이 여러 대 손괴된 점, 혈중알코 올농도 수치가 높은 점 등을 고려해 보면 피고인을 엄히 처벌함이 상당하다. 다만, 피고인이 자신의 잘못을 반성하고 있고, 최근 5년 이내에는 음주운전으로 처벌받은 전력이 없는 점, 이 사건 공판계속 중에도 흉추 및 요추 전방고정술을 시술받았고, 지속적인 탈구로 인해 조만간 수술이 예정되어 있을 만큼 피고인의 건강상태가 좋지 않은 점 등을 고려하여 주문과 같이 형을 정한다. - 2 - 출처: lbox.kr/case/부산지방법원동부지원/2018고단2427"
서울북부지방법원-2020고단4029.pdf,서울북부지방법원,2020고단4029 도로교통법위반(음주운전),"송정범(기소), 김유나(공판)",변호사 이현철(국선),2021. 5. 20.,배성중,징역,2,피고인을 징역 2년에 처한다.,피고인은 2020. 8. 17. 19:45경 서울 종로구 B에 있는 ‘C교회’ 부근에서부터 서울 성북구 D아파 트 앞 도로에 이르기까지 약 7km 구간에서 혈중알코올농도 0.115%의 술에 취한 상태로 피고인 소유의 (차량번호 1 생략) 봉고프런티어 화물차를 운전하였다. 이로써 피고인은 도로교통법 제44조 제1항을 2회 이상 위반하였다.,"피고인의 동종 범죄로 인한 처벌전력, 누범기간 중의 범행, 이 사건 운전 당시의 혈중알코올농도, 운전 거리 등에 비추어 실형 선고가 불가피하다. 그 형을 정함에 있어서는 피고인이 잘못을 뉘우치 면서 차량을 폐차한 점과 그 밖에 피고인의 연령과 성행, 범행의 동기, 수단과 결과, 범행 후의 정 황 등 이 사건 변론에 나타난 양형의 조건이 되는 여러 사정을 모두 참작하여 주문과 같이 형을 정 한다."
서울서부지방법원-2016고단3905.pdf,서울서부지방법원,2016고단3905 도로교통법위반(음주운전),"고현욱(기소), 김석순(공판)",변호사 B(국선),2017. 10. 31.,홍득관,집행유예,0.833333333,"피고인을 징역 10월에 처한다. 다만, 이 판결 확정일부터 2년간 위 형의 집행을 유예한다. 피고인에 대하여 보호관찰을 받을 것과 40시간의 준법운전강의 수강을 명한다.",피고인은 2016. 5. 30. 11:10경 순천시 C에 있는 D식당 앞 도로에서 혈중알콜농도 0.178%의 술에 취한 상태로 약 3m 가량 E 쏘나타 택시를 운전하였다.,"피고인이 2001년부터 2012년까지 도로교통법위반(음주운전)죄 등으로 다섯 차례 실형을 선고받 았고, 한 차례 벌금형의 약식명령을 발령받았음에도 다시 음주운전을 하여 음주운전에 대한 경각심 이 부족한 점, 피고인의 주취 정도가 일반적인 기준에 의하면 만취 상태에 해당하는 점, 피고인이 소환장을 송달받지는 못하였으나 출석요구 전화를 받아 재판이 계속 중인 사실을 고지받았음에도 공판기일에 계속 출석하지 않다가 구속되는 등 범행 후의 정황도 좋지 않은 점은 불리한 정상이다. 다만, 피고인이 검찰에서 조사를 받을 때부터 이 사건 범행을 인정하면서 반성하는 점, 피고인이 운 전한 거리가 매우 짧은 점, 피고인이 2012년에 도로교통법위반(음주운전)죄로 벌금형의 처벌을 받 은 이후로는 형사처벌을 받지는 않았던 점, 피고인이 노모를 부양하고 있는 것으로 보이는 점, 그 - 2 - 출처: lbox.kr/case/서울서부지방법원/2016고단3905 밖에 피고인의 연령, 성행, 가정환경, 범행의 동기, 범행 후의 정황 등 형법 제51조가 정한 양형의 조건을 참작하여 주문과 같이 형을 정한다."
서울중앙지방법원-2018고단3025.pdf,서울중앙지방법원,2018고단3025 도로교통법위반(음주운전),"김남엽(기소), 신지원(공판)",변호사 B(국선),2018. 7. 19.,윤지상,징역,0.5,피고인을 징역 6월에 처한다.,"범죄전력 피고인은 2003. 4. 25. 서울지방법원 서부지원에서 도로교통법위반(음주운전)죄로 벌금 150만 원, 2003. 9. 26. 서울지방법원에서 도로교통법위반(음주운전)죄 등으로 벌금 700만 원, 2008. 4. 24. 서울중앙지방법원에서 도로교통법위반(음주운전)죄로 벌금 250만 원, 2013. 7. 23. 서울 중앙지방법원에서 도로교통법위반(음주운전)죄로 벌금 500만원, 2013. 8. 23. 서울동부지방법원 에서 도로교통법위반(음주운전)죄로 벌금 400만 원, 2015. 12. 23. 서울중앙지방법원에서 도로교 통법위반(음주운전)죄 등으로 징역 8월, 집행유예 2년을 각 선고받은 사람이다. 범죄사실 피고인은 2018.5.5. 05:50경 서울 강남구 선릉역 인근에서부터 서울 강남구 개포로 310에 있는 - 1 - 출처: lbox.kr/case/서울중앙지방법원/2018고단3025 개포고교사거리까지 약 2km 구간에서 혈중알콜농도 0.138%의 술에 취한 상태로 CK5 승용차를 운전하였다.","피고인은 동종의 범죄로 이미 수차례 처벌받은 전력이 있는 점, 음주운전으로 인한 집행유예 기간 이 도과하자마자 다시 이 사건 범행을 범한 점, 혈중 알코올농도가 낮지 않은 점 등에 비추어 실형 선고가 불가피하다. 여기에 이 사건 범행의 수단과 결과, 범행 경위, 범행 후의 정황, 피고인의 연 령, 성행, 가정환경 등 제반 양형 조건을 종합하여 주문과 같이 형을 정한다."
수원지방법원-2018고단5955.pdf,수원지방법원,2018고단5955 도로교통법위반(음주운전),"최인상(기소), 공소정(공판)",변호사 신성호,2019. 1. 23.,차주희,징역,0.5,피고인을 징역 6개월에 처한다.,"피고인은 2018. 9. 26. 22:54경 수원시 권선구 B시장 앞 도로에서부터 수원시 권선구 C에 있는 - 1 - 출처: lbox.kr/case/수원지방법원/2018고단5955 D 앞 도로에 이르기까지 약 700m의 구간에서, 혈중알콜농도 0.109%의 술에 취한 상태로 E EQ900 승용차를 운전하였다. 이로써 피고인은 음주운전 금지 규정을 2회 이상 위반한 사람으로서 다시 술에 취한 상태에서 자동 차를 운전하였다.","중 유리한 정상 참작) 양형의 이유 [처단형의 범위] 징역 6개월 ~ 징역 1년 6개월 [선고형의 결정] 아래와 같은 정상과 그밖에 피고인의 나이, 성행, 환경, 범행의 동기와 범행 후의 정황 등 기록에 나 타난 양형조건을 참작하여 주문과 같이 형을 정하였다. ○ 유리한 정상 : 자신의 잘못을 인정하며 진지하게 반성하는 태도를 보이고 있고, 처와 세 자녀를 부양하고 있으며, 알콜의존증을 치료하여 향후 음주운전을 하지 않을 것을 다짐하고 있다. 또한 평 소 선행을 베풀며 모범적으로 생활해 왔다는 이유로 지인과 가족들이 피고인의 선처를 탄원하고 있 다. ○불리한 정상 : 피고인은 2001. 8. 10. 도로교통법위반(음주운전)죄 등으로 벌금 200만 원, 2002. 3. 27. 특가법(도주차량) 및 도로교통법위반(음주운전) 등으로 징역 8월에 집행유예 2년, 2008. 5. 30. 도로교통법위반(음주운전)죄로 벌금 100만 원, 2008. 11. 28. 도로교통법위반(음 주운전)죄로 벌금 100만 원, 2009. 7. 15. 도 로교통법위반(음주운전)죄 등으로 징역 10월에 집 - 2 - 출처: lbox.kr/case/수원지방법원/2018고단5955 행유예 2년을, 2011. 2. 24. 도로교통법위반(음주운전)죄 등으로 벌금 500만 원을, 2014. 11. 27. 도로교통법위반(음주운전)죄로 징역6월에 집행유예 2년을 각 선고받아 동종 범죄로 벌금형 총 4회, 징역형의 집행유예 3회의 처벌을 받은 전력이 있음에도 자숙하지 아니하고 소주 2병을 마신 상태에서 이 사건 범행을 저질렀는바, 피고인의 범죄 전력 등에 비춰보면 벌금형이나 집행유예만으 로는 더 이상 피고인의 교화나 개선이 어렵다고 판단된다. 음주운전은 자신뿐 아니라 타인의 생명 과 재산을 침해할 위험성이 매우 높은 범죄이므로 엄히 처벌하여 다시는 안일하고 무책임한 생각으 로 이와 같은 범행을 하지 못하도록 할 필요성이 크다."
수원지방법원-2020고단7046.pdf,수원지방법원,2020고단7046 도로교통법위반(음주운전),"정재현(기소), 민경재(공판)",변호사 허경은(국선),2021. 3. 18.,이혜랑,징역,1,피고인을 징역 1년에 처한다.,"피고인은 2020. 9. 29. 04:15경 경기도 수원시 영통구 영통동에서부터 경기도 용인시 기흥구 B에 - 1 - 출처: lbox.kr/case/수원지방법원/2020고단7046 있는 C 앞 노상까지 약 2.5km 거리에서 혈중알콜농도 0.134%의 술에 취한 상태로 D 스파크 승 용차량을 운전하였다. 『2020고단7919』 [범죄전력] 피고인은 2011. 12. 30. 수원지방법원에서 도로교통법위반(음주운전)죄로 벌금 300만원의 약식 명령을 발령받았고, 2013. 9. 23. 수원지방법원에서 도로교통법위반(음주운전)죄 등으로 벌금 400만원의 약식명령을 발령받았고, 2014. 5. 29. 수원지방법원에서 도로교통법위반(음주운전)죄 등으로 징역 6월에 집행유예 2년을 선고받았고, 2020. 10. 19. 수원지방법원에 도로교통법위반 (음주운전)죄로 불구속 기소되어 현재 재판계속 중이다. [범죄사실] 피고인은 2020. 10. 11. 03:45경 경기도 용인시 기흥구 E아파트 앞 도로에서부터 F에 있는 G식 당 앞 도로에 이르기까지 약 100미터 구간에서 혈중알콜농도 0.085%의 술에 취한 상태에서 D 스 파크 승용차량을 운전하였다.","피고인이 음주운전 전과가 수회 있고, 2014. 5. 29. 수원지방법원에서 도로교통법위반(음주운전) 죄 등으로 징역 6월에 집행유예 2년을 선고받고 그 유예기간이 경과한지 5년이 지나지 않아 2020 고단7046호 사건의 음주운전을 하였으며, 위 음주운전으로 수사받고 있는 중에 자숙하지 않고 2020고단7919호 사건의 음주운전을 한 점을 고려하면 실형 선고가 불가피하다. 다만, 피고인이 잘못을 인정하고 반성하는 점, 집행유예를 초과하는 범죄전력은 없는 점, 2020고 단7919호 사건의 음주운전 혈중알코올농도 수치가 매우 높지는 않은 점, 그 밖에 피고인의 나이, 성행, 환경 등 기록에 나타난 양형조건들을 참작하여 주문과 같이 형을 정한다."
수원지방법원안산지원-2014고단485.pdf,수원지방법원안산지원,2014고단485 도로교통법위반(음주운전),"이재표(기소), 최현주(공판)",,2014. 5. 22.,부동식,집행유예,1,"피고인을 징역 1년에 처한다. 다만, 이 판결 확정일로부터 2년간 위 형의 집행을 유예한다. 피고인에 대하여 120시간의 사회봉사 및 40시간의 준법운전강의 수강을 명한다.","피고인은 2001. 1. 12. 수원지방법원에서 도로교통법위반(음주운전)으로 벌금 1,500,000원의 약식명령을 받고, 2001. 7. 23. 인천지방법원 부천지원에서 도로교통법위반(음주운전) 등으로 벌 금 2,500,000원의 약식명령을 받고, 2003. 4. 30. 인천지방법원 부천지원에서 도로교통법위반 (음주운전) 등으로 징역 1년 6월에 집행유예 3년을 선고받고, 2008. 5. 23. 수원지방법원 안산지 원에서 도로교통법위반(음주운전)으로 벌금 2,000,000원의 약식명령을 받고, 2008. 12. 5. 인천 지방법원 부천지원에서 도로교통법위반(음주운전)으로 벌금 2,000,000원의 약식명령을 받고, 2009. 4. 30. 수원지방법원에서 도로교통법위반(음주운전) 등으로 징역 6월을 선고받았다. 피고인은 2014. 2. 15. 23:17경 혈중알콜농도 0.056%의 술에 취한 상태로 시흥시 정왕동 49 앞 도로부터 같은 동 1745-6 시흥버스터미널 앞 도로에 이르기까지 약 300m 구간에서 B 아반떼 승 - 1 - 출처: lbox.kr/case/수원지방법원안산지원/2014고단485 용차를 운전하였다.",
수원지방법원안산지원-2018고단496.pdf,수원지방법원안산지원,"2018고단496, 809(병합) 도로교통법위반(음주운전)","김미선, 최지예(기소), 김지웅(공판)",변호사 B(국선),2018. 5. 25.,전경호,집행유예,0.666666667,"피고인을 징역 8월에 처한다. 다만, 이 판결 확정일로부터 2년간 위 형의 집행을 유예한다. 피고인에게 40시간의 사회봉사 및 준법운전강의 40시간의 수강을 명한다.","[2018고단496] 피고인은 2010. 3. 26. 서울중앙지방법원에서 도로교통법위반(음주운전)죄로 벌금 200만 원, 2010. 3. 29. 인천지방법원에서 도로교통법위반(음주운전)죄로 벌금 250만 원, 2010. 5. 17. 인 천지방법원에서 도로교통법위반(음주운전)죄 등으로 벌금 400만 원, 2010. 9. 27. 같은 법원에서 도로교통법위반(음주운전)죄 등으로 벌금 400만 원의 약식명령을 각 발령받았다. 피고인은 2017. 12. 29. 22:10경 파주시 목동동 이하 번지 불상의 현대건설 아파트 공사현장 부 근 식당 주차장에서부터 같은 시 와동동 소재 한길지하차도에 이르기까지 약 3km의 구간에서 혈중 - 1 - 출처: lbox.kr/case/수원지방법원안산지원/2018고단496 알코올농도 0.233%의 술에 취한 상태로 C 그랜저 승용차량을 운전하였다. [2018고단809] 피고인은 2010. 3. 26. 서울중앙지방법원에서 도로교통법위반(음주운전)죄로 벌금 200만 원, 2010. 3. 29. 인천지방법원에서 도로교통법위반(음주운전)죄로 벌금 250만 원, 2010. 5. 17. 인 천지방법원에서 도로교통법위반(음주운전)죄 등으로 벌금 400만 원, 2010. 9. 27. 같은 법원에서 도로교통법위반(음주운전)죄 등으로 벌금 400만 원의 약식명령을 각 발령받았다. 피고인은 2017. 12. 12. 23:35경 고양시 소재 상호불상의 식당 앞 길에서부터 같은 시 일산동구 장대길 자유로 킨텍스 IC 인근 도로에 이르기까지 약 1km 구간에서 혈중알코올농도 0.192%의 술에 취한 상태로 C 그랜저 승용차를 운전하였다.",
수원지방법원여주지원-2018고단31.pdf,수원지방법원여주지원,2018고단31 도로교통법위반(음주운전),"김서현(기소), 정종헌(공판)",변호사 B(국선),2018. 2. 20.,,징역,0.5,피고인을 징역 6월에 처한다.,,
